"protein__id","group","replicate","variable","value"
"P07024","Cefotaxime","3","lqf",28.3383
"P07024","Impipenem","1","lqf",28.1957
"P07024","Impipenem","2","lqf",28.6985
"P07024","Impipenem","3","lqf",28.5386
"P07024","Ciprofloxacin","1","lqf",28.2724
"P07024","Ciprofloxacin","2","lqf",27.9872
"P07024","Ciprofloxacin","3","lqf",28.0064
"P07024","Control","1","lqf",28.1327
"P07024","Control","2","lqf",27.9713
"P07024","Control","3","lqf",28.3347
"P07102","Ampicillin","1","lqf",24.955
"P07102","Ampicillin","2","lqf",25.4952
"P07102","Ampicillin","3","lqf",23.795
"P07102","Cefotaxime","1","lqf",26.1581
"P07102","Cefotaxime","2","lqf",26.1002
"P07102","Cefotaxime","3","lqf",25.9604
"P07102","Impipenem","1","lqf",26.814
"P07102","Impipenem","2","lqf",26.7738
"P07102","Impipenem","3","lqf",24.1615
"P07102","Ciprofloxacin","1","lqf",23.5895
"P07102","Ciprofloxacin","2","lqf",23.5403
"P07102","Ciprofloxacin","3","lqf",24.8349
"P07102","Control","1","lqf",25.9882
"P07102","Control","2","lqf",26.6099
"P07102","Control","3","lqf",26.8459
"P07118","Ampicillin","1","lqf",30.8988
"P07118","Ampicillin","2","lqf",30.7157
"P07118","Ampicillin","3","lqf",30.4119
"P07118","Cefotaxime","1","lqf",30.6716
"P07118","Cefotaxime","2","lqf",31.1306
"P07118","Cefotaxime","3","lqf",30.7607
"P07118","Impipenem","1","lqf",30.9643
"P07118","Impipenem","2","lqf",30.645
"P07118","Impipenem","3","lqf",30.8246
"P07118","Ciprofloxacin","1","lqf",31.3406
"P07118","Ciprofloxacin","2","lqf",31.1269
"P07118","Ciprofloxacin","3","lqf",31.3421
"P07118","Control","1","lqf",30.8293
"P07118","Control","2","lqf",30.6047
"P07118","Control","3","lqf",30.7271
"P07395","Ampicillin","1","lqf",31.014
"P07395","Ampicillin","2","lqf",31.1467
"P07395","Ampicillin","3","lqf",30.103
"P07395","Cefotaxime","1","lqf",30.951
"P07395","Cefotaxime","2","lqf",30.2473
"P07395","Cefotaxime","3","lqf",30.7586
"P07395","Impipenem","1","lqf",31.1027
"P07395","Impipenem","2","lqf",30.9663
"P07395","Impipenem","3","lqf",30.6427
"P07395","Ciprofloxacin","1","lqf",31.4343
"P07395","Ciprofloxacin","2","lqf",31.1878
"P07395","Ciprofloxacin","3","lqf",31.5182
"P07395","Control","1","lqf",31.1865
"P07395","Control","2","lqf",31.152
"P07395","Control","3","lqf",31.1383
"P07464","Ampicillin","1","lqf",24.614
"P07464","Ampicillin","2","lqf",25.2988
"P07464","Ampicillin","3","lqf",25.3323
"P07464","Cefotaxime","1","lqf",24.1292
"P07464","Cefotaxime","2","lqf",25.3218
"P07464","Cefotaxime","3","lqf",25.3374
"P07464","Impipenem","1","lqf",24.8069
"P07464","Impipenem","2","lqf",24.5544
"P07464","Impipenem","3","lqf",24.8129
"P07464","Ciprofloxacin","1","lqf",25.9372
"P07464","Ciprofloxacin","2","lqf",26.6577
"P07464","Ciprofloxacin","3","lqf",26.2911
"P07464","Control","1","lqf",24.688
"P07464","Control","2","lqf",25.1411
"P07464","Control","3","lqf",25.0967
"P07639","Ampicillin","1","lqf",26.2191
"P07639","Ampicillin","2","lqf",27.2863
"P07639","Ampicillin","3","lqf",25.3841
"P07639","Cefotaxime","1","lqf",26.6534
"P07639","Cefotaxime","2","lqf",26.7303
"P07639","Cefotaxime","3","lqf",26.8466
"P07639","Impipenem","1","lqf",27.0016
"P07639","Impipenem","2","lqf",26.4908
"P07639","Impipenem","3","lqf",27.2368
"P07639","Ciprofloxacin","1","lqf",27.4057
"P07639","Ciprofloxacin","2","lqf",27.0085
"P07639","Ciprofloxacin","3","lqf",26.6211
"P07639","Control","1","lqf",26.6352
"P07639","Control","2","lqf",27.022
"P07639","Control","3","lqf",27.2251
"P07650","Ampicillin","1","lqf",29.1363
"P07650","Ampicillin","2","lqf",28.8606
"P07650","Ampicillin","3","lqf",28.6245
"P07650","Cefotaxime","1","lqf",28.6712
"P07650","Cefotaxime","2","lqf",28.6218
"P07650","Cefotaxime","3","lqf",29.0247
"P07650","Impipenem","1","lqf",29.2632
"P07650","Impipenem","2","lqf",28.8577
"P07650","Impipenem","3","lqf",29.2064
"P07650","Ciprofloxacin","1","lqf",29.3119
"P07650","Ciprofloxacin","2","lqf",29.2911
"P07650","Ciprofloxacin","3","lqf",29.0721
"P07650","Control","1","lqf",28.9224
"P07650","Control","2","lqf",29.1897
"P07650","Control","3","lqf",29.2736
"P07813","Ampicillin","1","lqf",30.3535
"P07813","Ampicillin","2","lqf",30.434
"P07813","Ampicillin","3","lqf",30.3339
"P07813","Cefotaxime","1","lqf",30.2836
"P07813","Cefotaxime","2","lqf",30.2275
"P07813","Cefotaxime","3","lqf",30.3302
"P07813","Impipenem","1","lqf",30.5003
"P07813","Impipenem","2","lqf",30.4053
"P07813","Impipenem","3","lqf",30.392
"P07813","Ciprofloxacin","1","lqf",30.9837
"P07813","Ciprofloxacin","2","lqf",30.7247
"P07813","Ciprofloxacin","3","lqf",30.7067
"P07813","Control","1","lqf",30.2896
"P07813","Control","2","lqf",30.3311
"P07813","Control","3","lqf",30.8046
"P07862","Ampicillin","1","lqf",25.7103
"P07862","Ampicillin","2","lqf",26.1719
"P07862","Ampicillin","3","lqf",25.7005
"P07862","Cefotaxime","1","lqf",27.1301
"P07862","Cefotaxime","2","lqf",26.7632
"P07862","Cefotaxime","3","lqf",26.7129
"P07862","Impipenem","1","lqf",26.4558
"P07862","Impipenem","2","lqf",26.8661
"P07862","Impipenem","3","lqf",27.0283
"P07862","Ciprofloxacin","1","lqf",26.0252
"P07862","Ciprofloxacin","2","lqf",26.2114
"P07862","Ciprofloxacin","3","lqf",26.031
"P07862","Control","1","lqf",26.2599
"P07862","Control","2","lqf",26.7361
"P07862","Control","3","lqf",26.9617
"P07913","Ampicillin","1","lqf",29.0301
"P07913","Ampicillin","2","lqf",29.6322
"P07913","Ampicillin","3","lqf",28.4506
"P07913","Cefotaxime","1","lqf",29.1313
"P07913","Cefotaxime","2","lqf",27.8416
"P07913","Cefotaxime","3","lqf",28.9041
"P07913","Impipenem","1","lqf",29.2593
"P07913","Impipenem","2","lqf",29.8726
"P07913","Impipenem","3","lqf",28.2991
"P07913","Ciprofloxacin","1","lqf",29.3872
"P07913","Ciprofloxacin","2","lqf",29.2285
"P07913","Ciprofloxacin","3","lqf",29.5303
"P07913","Control","1","lqf",29.0615
"P07913","Control","2","lqf",29.1723
"P07913","Control","3","lqf",29.1835
"P08142","Ampicillin","1","lqf",25.9157
"P08142","Ampicillin","2","lqf",26.9308
"P08142","Ampicillin","3","lqf",22.4753
"P08142","Cefotaxime","1","lqf",26.994
"P08142","Cefotaxime","2","lqf",23.2448
"P08142","Cefotaxime","3","lqf",27.0457
"P08142","Impipenem","1","lqf",26.8716
"P08142","Impipenem","2","lqf",25.418
"P08142","Impipenem","3","lqf",24.6707
"P08142","Ciprofloxacin","1","lqf",22.962
"P08142","Ciprofloxacin","2","lqf",26.6914
"P08142","Ciprofloxacin","3","lqf",24.665
"P08142","Control","1","lqf",25.6754
"P08142","Control","2","lqf",27.1472
"P08142","Control","3","lqf",27.5606
"P08178","Ampicillin","1","lqf",28.6703
"P08178","Ampicillin","2","lqf",28.0416
"P08178","Ampicillin","3","lqf",28.1683
"P08178","Cefotaxime","1","lqf",28.8786
"P08178","Cefotaxime","2","lqf",28.277
"P08178","Cefotaxime","3","lqf",28.5777
"P08178","Impipenem","1","lqf",28.9243
"P08178","Impipenem","2","lqf",28.7278
"P08178","Impipenem","3","lqf",29
"P08178","Ciprofloxacin","1","lqf",29.5023
"P08178","Ciprofloxacin","2","lqf",28.688
"P08178","Ciprofloxacin","3","lqf",28.7058
"P08178","Control","1","lqf",28.4061
"P08178","Control","2","lqf",28.3062
"P08178","Control","3","lqf",28.7776
"P08179","Ampicillin","1","lqf",26.5832
"P08179","Ampicillin","2","lqf",26.5562
"P08179","Ampicillin","3","lqf",26.941
"P08179","Cefotaxime","1","lqf",26.4561
"P08179","Cefotaxime","2","lqf",26.678
"P08179","Cefotaxime","3","lqf",26.7106
"P08179","Impipenem","1","lqf",26.2672
"P08179","Impipenem","2","lqf",26.308
"P08179","Impipenem","3","lqf",26.5872
"P08179","Ciprofloxacin","1","lqf",26.5819
"P08179","Ciprofloxacin","2","lqf",27.1638
"P08179","Ciprofloxacin","3","lqf",27.3637
"P08179","Control","1","lqf",26.1973
"P08179","Control","2","lqf",26.559
"P08179","Control","3","lqf",26.3581
"P08190","Ampicillin","1","lqf",25.0964
"P08190","Ampicillin","2","lqf",25.3244
"P08190","Ampicillin","3","lqf",25.8725
"P08190","Cefotaxime","1","lqf",25.2728
"P08190","Cefotaxime","2","lqf",23.3267
"P08190","Cefotaxime","3","lqf",24.5983
"P08190","Impipenem","1","lqf",24.7426
"P08190","Impipenem","2","lqf",25.1597
"P08190","Impipenem","3","lqf",24.0975
"P08190","Ciprofloxacin","1","lqf",24.0389
"P08190","Ciprofloxacin","2","lqf",24.0771
"P08190","Ciprofloxacin","3","lqf",24.3375
"P08190","Control","1","lqf",24.813
"P08190","Control","2","lqf",26.6889
"P08190","Control","3","lqf",25.4009
"P08191","Ampicillin","1","lqf",26.3077
"P08191","Ampicillin","2","lqf",26.4898
"P08191","Ampicillin","3","lqf",27.2395
"P08191","Cefotaxime","1","lqf",25.9554
"P08191","Cefotaxime","2","lqf",26.4169
"P08191","Cefotaxime","3","lqf",25.5234
"P08191","Impipenem","1","lqf",26.4892
"P08191","Impipenem","2","lqf",26.3342
"P08191","Impipenem","3","lqf",23.9378
"P08191","Ciprofloxacin","1","lqf",23.4489
"P08191","Ciprofloxacin","2","lqf",24.3319
"P08191","Ciprofloxacin","3","lqf",23.8686
"P08191","Control","1","lqf",27.073
"P08191","Control","2","lqf",27.1999
"P08191","Control","3","lqf",25.7479
"P08192","Ampicillin","1","lqf",25.5843
"P08192","Ampicillin","2","lqf",26.3767
"P08192","Ampicillin","3","lqf",24.8556
"P08192","Cefotaxime","1","lqf",26.0096
"P08192","Cefotaxime","2","lqf",23.8241
"P08192","Cefotaxime","3","lqf",26.2524
"P08192","Impipenem","1","lqf",25.6472
"P08192","Impipenem","2","lqf",24.3903
"P08192","Impipenem","3","lqf",24.7915
"P08192","Ciprofloxacin","1","lqf",25.683
"P08192","Ciprofloxacin","2","lqf",25.9453
"P08192","Ciprofloxacin","3","lqf",23.9388
"P08192","Control","1","lqf",25.0994
"P08192","Control","2","lqf",25.7345
"P08192","Control","3","lqf",25.5553
"P08194","Ampicillin","1","lqf",24.1181
"P08194","Ampicillin","2","lqf",24.1021
"P08194","Ampicillin","3","lqf",24.3029
"P08194","Cefotaxime","1","lqf",23.9949
"P08194","Cefotaxime","2","lqf",23.7193
"P08194","Cefotaxime","3","lqf",23.5146
"P08194","Impipenem","1","lqf",24.1179
"P08194","Impipenem","2","lqf",24.314
"P08194","Impipenem","3","lqf",23.747
"P08194","Ciprofloxacin","1","lqf",24.0881
"P08194","Ciprofloxacin","2","lqf",23.9671
"P08194","Ciprofloxacin","3","lqf",24.7644
"P08194","Control","1","lqf",24.1481
"P08194","Control","2","lqf",24.7606
"P08194","Control","3","lqf",25.0127
"P08200","Ampicillin","1","lqf",32.9992
"P08200","Ampicillin","2","lqf",33.1909
"P08200","Ampicillin","3","lqf",32.1971
"P08200","Cefotaxime","1","lqf",32.6498
"P08200","Cefotaxime","2","lqf",31.6271
"P08200","Cefotaxime","3","lqf",32.5994
"P08200","Impipenem","1","lqf",33.2875
"P08200","Impipenem","2","lqf",33.052
"P08200","Impipenem","3","lqf",31.9502
"P08200","Ciprofloxacin","1","lqf",32.9627
"P08200","Ciprofloxacin","2","lqf",32.8653
"P08200","Ciprofloxacin","3","lqf",33.1907
"P08200","Control","1","lqf",33.0213
"P08200","Control","2","lqf",33.2895
"P08200","Control","3","lqf",33.2156
"P08202","Ampicillin","1","lqf",24.8863
"P08202","Ampicillin","2","lqf",25.9174
"P08202","Ampicillin","3","lqf",24.4241
"P08202","Cefotaxime","1","lqf",24.5415
"P08202","Cefotaxime","2","lqf",25.1505
"P08202","Cefotaxime","3","lqf",23.5766
"P08202","Impipenem","1","lqf",24.5701
"P08202","Impipenem","2","lqf",25.9477
"P08202","Impipenem","3","lqf",26.4823
"P08202","Ciprofloxacin","1","lqf",25.0812
"P08202","Ciprofloxacin","2","lqf",24.567
"P08202","Ciprofloxacin","3","lqf",24.5758
"P08202","Control","1","lqf",25.8993
"P08202","Control","2","lqf",25.933
"P08202","Control","3","lqf",25.5955
"P08312","Ampicillin","1","lqf",29.5823
"P08312","Ampicillin","2","lqf",29.3952
"P08312","Ampicillin","3","lqf",29.757
"P08312","Cefotaxime","1","lqf",29.3169
"P08312","Cefotaxime","2","lqf",29.0433
"P08312","Cefotaxime","3","lqf",29.2281
"P08312","Impipenem","1","lqf",29.5205
"P08312","Impipenem","2","lqf",29.2765
"P08312","Impipenem","3","lqf",28.9883
"P08312","Ciprofloxacin","1","lqf",29.7861
"P08312","Ciprofloxacin","2","lqf",29.4673
"P08312","Ciprofloxacin","3","lqf",29.9684
"P08312","Control","1","lqf",29.4651
"P08312","Control","2","lqf",29.4137
"P08312","Control","3","lqf",29.6902
"P08331","Ampicillin","1","lqf",23.5029
"P08331","Ampicillin","2","lqf",24.6151
"P08331","Ampicillin","3","lqf",24.0826
"P08331","Cefotaxime","1","lqf",26.4251
"P08331","Cefotaxime","2","lqf",27.3164
"P08331","Cefotaxime","3","lqf",27.0282
"P08331","Impipenem","1","lqf",26.0676
"P08331","Impipenem","2","lqf",26.9472
"P08331","Impipenem","3","lqf",23.6193
"P08331","Ciprofloxacin","1","lqf",26.309
"P08331","Ciprofloxacin","2","lqf",26.2225
"P08331","Ciprofloxacin","3","lqf",24.0614
"P08331","Control","1","lqf",23.027
"P08331","Control","2","lqf",26.4862
"P08331","Control","3","lqf",26.2421
"P08390","Ampicillin","1","lqf",26.3834
"P08390","Ampicillin","2","lqf",26.8971
"P08390","Ampicillin","3","lqf",27.3172
"P08390","Cefotaxime","1","lqf",28.6814
"P08390","Cefotaxime","2","lqf",27.6975
"P08390","Cefotaxime","3","lqf",28.5922
"P08390","Impipenem","1","lqf",27.5494
"P08390","Impipenem","2","lqf",28.1437
"P08390","Impipenem","3","lqf",26.9116
"P08390","Ciprofloxacin","1","lqf",27.1773
"P08390","Ciprofloxacin","2","lqf",26.5208
"P08390","Ciprofloxacin","3","lqf",24.1138
"P08390","Control","1","lqf",28.1432
"P08390","Control","2","lqf",28.5325
"P08390","Control","3","lqf",28.0455
"P08622","Ampicillin","1","lqf",25.5789
"P08622","Ampicillin","2","lqf",23.6735
"P08622","Ampicillin","3","lqf",26.3095
"P08622","Cefotaxime","1","lqf",25.888
"P08622","Cefotaxime","2","lqf",26.1789
"P08622","Cefotaxime","3","lqf",25.4521
"P08622","Impipenem","1","lqf",25.0665
"P08622","Impipenem","2","lqf",25.4498
"P08622","Impipenem","3","lqf",23.913
"P08622","Ciprofloxacin","1","lqf",25.4337
"P08622","Ciprofloxacin","2","lqf",25.5797
"P08622","Ciprofloxacin","3","lqf",25.3443
"P08622","Control","1","lqf",25.3481
"P08622","Control","2","lqf",25.1624
"P08622","Control","3","lqf",26.0096
"P08839","Ampicillin","1","lqf",30.2373
"P08839","Ampicillin","2","lqf",30.3619
"P08839","Ampicillin","3","lqf",30.606
"P08839","Cefotaxime","1","lqf",30.6321
"P08839","Cefotaxime","2","lqf",30.6807
"P08839","Cefotaxime","3","lqf",30.732
"P08839","Impipenem","1","lqf",30.0422
"P08839","Impipenem","2","lqf",30.4572
"P08839","Impipenem","3","lqf",30.1312
"P08839","Ciprofloxacin","1","lqf",30.3656
"P08839","Ciprofloxacin","2","lqf",30.4592
"P08839","Ciprofloxacin","3","lqf",30.0387
"P08839","Control","1","lqf",30.2838
"P08839","Control","2","lqf",30.4668
"P08839","Control","3","lqf",30.6272
"P08957","Ampicillin","1","lqf",22.915
"P08957","Ampicillin","2","lqf",24.9589
"P08957","Ampicillin","3","lqf",25.6595
"P08957","Cefotaxime","1","lqf",24.8783
"P08957","Cefotaxime","2","lqf",25.8181
"P08957","Cefotaxime","3","lqf",26.0009
"P08957","Impipenem","1","lqf",25.2523
"P08957","Impipenem","2","lqf",24.6576
"P08957","Impipenem","3","lqf",25.3808
"P08957","Ciprofloxacin","1","lqf",26.1742
"P08957","Ciprofloxacin","2","lqf",25.271
"P08957","Ciprofloxacin","3","lqf",24.1381
"P08957","Control","1","lqf",24.4423
"P08957","Control","2","lqf",23.4098
"P08957","Control","3","lqf",24.8715
"P08997","Ampicillin","1","lqf",29.951
"P08997","Ampicillin","2","lqf",30.5696
"P08997","Ampicillin","3","lqf",30.4857
"P08997","Cefotaxime","1","lqf",30.0605
"P08997","Cefotaxime","2","lqf",29.7443
"P08997","Cefotaxime","3","lqf",29.995
"P08997","Impipenem","1","lqf",30.4506
"P08997","Impipenem","2","lqf",30.3782
"P08997","Impipenem","3","lqf",29.8486
"P08997","Ciprofloxacin","1","lqf",27.411
"P08997","Ciprofloxacin","2","lqf",29.8855
"P08997","Ciprofloxacin","3","lqf",29.3089
"P08997","Control","1","lqf",30.3872
"P08997","Control","2","lqf",30.7771
"P08997","Control","3","lqf",30.7244
"P09029","Ampicillin","1","lqf",28.4976
"P09029","Ampicillin","2","lqf",28.0076
"P09029","Ampicillin","3","lqf",27.7008
"P09029","Cefotaxime","1","lqf",27.8592
"P09029","Cefotaxime","2","lqf",28.1231
"P09029","Cefotaxime","3","lqf",28.1237
"P09029","Impipenem","1","lqf",27.965
"P09029","Impipenem","2","lqf",27.9942
"P09029","Impipenem","3","lqf",27.8848
"P09029","Ciprofloxacin","1","lqf",28.4022
"P09029","Ciprofloxacin","2","lqf",28.3945
"P09029","Ciprofloxacin","3","lqf",28.0217
"P09029","Control","1","lqf",27.9199
"P09029","Control","2","lqf",28.0741
"P09029","Control","3","lqf",27.984
"P09030","Ampicillin","1","lqf",27.9364
"P09030","Ampicillin","2","lqf",28.0986
"P09030","Ampicillin","3","lqf",28.2698
"P09030","Cefotaxime","1","lqf",27.9513
"P09030","Cefotaxime","2","lqf",28.3173
"P09030","Cefotaxime","3","lqf",27.8154
"P09030","Impipenem","1","lqf",27.6389
"P09030","Impipenem","2","lqf",27.56
"P09030","Impipenem","3","lqf",27.9898
"P09030","Ciprofloxacin","1","lqf",28.1738
"P09030","Ciprofloxacin","2","lqf",28.0916
"P09030","Ciprofloxacin","3","lqf",28.2758
"P09030","Control","1","lqf",27.3699
"P09030","Control","2","lqf",27.5174
"P09030","Control","3","lqf",28.1646
"P09147","Ampicillin","1","lqf",28.9271
"P09147","Ampicillin","2","lqf",29.2362
"P09147","Ampicillin","3","lqf",28.819
"P09147","Cefotaxime","1","lqf",29.0907
"P09147","Cefotaxime","2","lqf",29.157
"P09147","Cefotaxime","3","lqf",29.2178
"P09147","Impipenem","1","lqf",28.6472
"P09147","Impipenem","2","lqf",29.2564
"P09147","Impipenem","3","lqf",28.5322
"P09147","Ciprofloxacin","1","lqf",29.3339
"P09147","Ciprofloxacin","2","lqf",29.5856
"P09147","Ciprofloxacin","3","lqf",29.3125
"P09147","Control","1","lqf",29.5044
"P09147","Control","2","lqf",29.1591
"P09147","Control","3","lqf",29.3475
"P09148","Ampicillin","1","lqf",29.3081
"P09148","Ampicillin","2","lqf",29.1401
"P09148","Ampicillin","3","lqf",28.6007
"P09148","Cefotaxime","1","lqf",28.394
"P09148","Cefotaxime","2","lqf",28.6313
"P09148","Cefotaxime","3","lqf",28.7849
"P09148","Impipenem","1","lqf",28.629
"P09148","Impipenem","2","lqf",28.6038
"P09148","Impipenem","3","lqf",28.3999
"P09148","Ciprofloxacin","1","lqf",28.3959
"P09148","Ciprofloxacin","2","lqf",29.317
"P09148","Ciprofloxacin","3","lqf",30.3176
"P09148","Control","1","lqf",28.4555
"P09148","Control","2","lqf",29.116
"P09148","Control","3","lqf",28.5051
"P09158","Ampicillin","1","lqf",26.1893
"P09158","Ampicillin","2","lqf",27.2657
"P09158","Ampicillin","3","lqf",24.2014
"P09158","Cefotaxime","1","lqf",25.8922
"P09158","Cefotaxime","2","lqf",24.7473
"P09158","Cefotaxime","3","lqf",25.5675
"P09158","Impipenem","1","lqf",28.1093
"P09158","Impipenem","2","lqf",27.4284
"P09158","Impipenem","3","lqf",25.6573
"P09158","Ciprofloxacin","1","lqf",26.598
"P09158","Ciprofloxacin","2","lqf",25.9553
"P09158","Ciprofloxacin","3","lqf",25.9941
"P09158","Control","1","lqf",28.0096
"P09158","Control","2","lqf",27.1959
"P09158","Control","3","lqf",27.7384
"P09372","Ampicillin","1","lqf",30.9484
"P09372","Ampicillin","2","lqf",30.3105
"P09372","Ampicillin","3","lqf",30.9629
"P09372","Cefotaxime","1","lqf",30.6566
"P09372","Cefotaxime","2","lqf",30.2304
"P09372","Cefotaxime","3","lqf",30.3644
"P09372","Impipenem","1","lqf",30.1641
"P09372","Impipenem","2","lqf",30.2858
"P09372","Impipenem","3","lqf",30.1347
"P09372","Ciprofloxacin","1","lqf",30.8798
"P09372","Ciprofloxacin","2","lqf",30.6455
"P09372","Ciprofloxacin","3","lqf",30.7598
"P09372","Control","1","lqf",30.28
"P09372","Control","2","lqf",30.7561
"P09372","Control","3","lqf",30.504
"P09373","Ampicillin","1","lqf",33.5351
"P09373","Ampicillin","2","lqf",33.22
"P09373","Ampicillin","3","lqf",33.2335
"P09373","Cefotaxime","1","lqf",33.6564
"P09373","Cefotaxime","2","lqf",33.7118
"P09373","Cefotaxime","3","lqf",33.6471
"P09373","Impipenem","1","lqf",33.5508
"P09373","Impipenem","2","lqf",33.6248
"P09373","Impipenem","3","lqf",33.2926
"P09373","Ciprofloxacin","1","lqf",33.5929
"P09373","Ciprofloxacin","2","lqf",33.0578
"P09373","Ciprofloxacin","3","lqf",32.9402
"P09373","Control","1","lqf",33.2855
"P09373","Control","2","lqf",33.4868
"P09373","Control","3","lqf",33.7034
"P09394","Ampicillin","1","lqf",33.5264
"P09394","Ampicillin","2","lqf",32.4237
"P09394","Ampicillin","3","lqf",33.3678
"P09394","Cefotaxime","1","lqf",33.03
"P09394","Cefotaxime","2","lqf",32.9539
"P09394","Cefotaxime","3","lqf",33.1539
"P09394","Impipenem","1","lqf",32.6971
"P09394","Impipenem","2","lqf",33.0764
"P09394","Impipenem","3","lqf",33.18
"P09394","Ciprofloxacin","1","lqf",33.3149
"P09394","Ciprofloxacin","2","lqf",32.2812
"P09394","Ciprofloxacin","3","lqf",32.2122
"P09394","Control","1","lqf",32.9292
"P09394","Control","2","lqf",32.4709
"P09394","Control","3","lqf",32.9462
"P09424","Ampicillin","1","lqf",28.0886
"P09424","Ampicillin","2","lqf",28.6106
"P09424","Ampicillin","3","lqf",27.4882
"P09424","Cefotaxime","1","lqf",27.786
"P09424","Cefotaxime","2","lqf",27.3588
"P09424","Cefotaxime","3","lqf",27.9669
"P09424","Impipenem","1","lqf",28.7877
"P09424","Impipenem","2","lqf",28.508
"P09424","Impipenem","3","lqf",28.4806
"P09424","Ciprofloxacin","1","lqf",28.3309
"P09424","Ciprofloxacin","2","lqf",28.3906
"P09424","Ciprofloxacin","3","lqf",28.2566
"P09424","Control","1","lqf",28.5027
"P09424","Control","2","lqf",28.5845
"P09424","Control","3","lqf",28.7741
"P09546","Ampicillin","1","lqf",29.1229
"P09546","Ampicillin","2","lqf",29.0406
"P09546","Ampicillin","3","lqf",29.1418
"P09546","Cefotaxime","1","lqf",30.0346
"P09546","Cefotaxime","2","lqf",29.7136
"P09546","Cefotaxime","3","lqf",29.7744
"P09546","Impipenem","1","lqf",29.9355
"P09546","Impipenem","2","lqf",29.3674
"P09546","Impipenem","3","lqf",29.7914
"P09546","Ciprofloxacin","1","lqf",27.6393
"P09546","Ciprofloxacin","2","lqf",30.2838
"P09546","Ciprofloxacin","3","lqf",30.4364
"P09546","Control","1","lqf",28.8177
"P09546","Control","2","lqf",28.0472
"P09546","Control","3","lqf",28.5145
"P09551","Ampicillin","1","lqf",28.5905
"P09551","Ampicillin","2","lqf",27.9319
"P09551","Ampicillin","3","lqf",28.3031
"P09551","Cefotaxime","1","lqf",27.32
"P09551","Cefotaxime","2","lqf",27.3128
"P09551","Cefotaxime","3","lqf",27.3989
"P09551","Impipenem","1","lqf",27.2218
"P09551","Impipenem","2","lqf",27.4261
"P09551","Impipenem","3","lqf",28.7694
"P09551","Ciprofloxacin","1","lqf",23.6179
"P09551","Ciprofloxacin","2","lqf",24.2888
"P09551","Ciprofloxacin","3","lqf",23.7289
"P09551","Control","1","lqf",27.5709
"P09551","Control","2","lqf",27.2714
"P09551","Control","3","lqf",27.7389
"P09831","Ampicillin","1","lqf",27.4425
"P09831","Ampicillin","2","lqf",27.2969
"P09831","Ampicillin","3","lqf",26.6183
"P09831","Cefotaxime","1","lqf",27.2743
"P09831","Cefotaxime","2","lqf",26.6865
"P09831","Cefotaxime","3","lqf",27.6242
"P09831","Impipenem","1","lqf",27.9625
"P09831","Impipenem","2","lqf",28.1822
"P09831","Impipenem","3","lqf",28.0005
"P09831","Ciprofloxacin","1","lqf",29.3307
"P09831","Ciprofloxacin","2","lqf",28.3501
"P09831","Ciprofloxacin","3","lqf",28.2226
"P09831","Control","1","lqf",26.5696
"P09831","Control","2","lqf",27.2165
"P09831","Control","3","lqf",27.9712
"P09832","Ampicillin","1","lqf",25.7372
"P09832","Ampicillin","2","lqf",23.6639
"P09832","Ampicillin","3","lqf",26.0869
"P09832","Cefotaxime","1","lqf",25.2599
"P09832","Cefotaxime","2","lqf",25.5698
"P09832","Cefotaxime","3","lqf",25.3633
"P09832","Impipenem","1","lqf",25.0069
"P09832","Impipenem","2","lqf",25.457
"P09832","Impipenem","3","lqf",25.5635
"P09832","Ciprofloxacin","1","lqf",26.8229
"P09832","Ciprofloxacin","2","lqf",25.8124
"P09832","Ciprofloxacin","3","lqf",25.7534
"P09832","Control","1","lqf",24.1736
"P09832","Control","2","lqf",24.3916
"P09832","Control","3","lqf",25.2928
"P09996","Ampicillin","1","lqf",24.1223
"P09996","Ampicillin","2","lqf",23.3464
"P09996","Ampicillin","3","lqf",25.435
"P09996","Cefotaxime","1","lqf",24.0448
"P09996","Cefotaxime","2","lqf",27.354
"P09996","Cefotaxime","3","lqf",23.1975
"P09996","Impipenem","1","lqf",24.1038
"P09996","Impipenem","2","lqf",23.8085
"P09996","Impipenem","3","lqf",23.431
"P09996","Ciprofloxacin","1","lqf",25.0833
"P09996","Ciprofloxacin","2","lqf",25.3544
"P09996","Ciprofloxacin","3","lqf",25.2037
"P09996","Control","1","lqf",26.4211
"P09996","Control","2","lqf",25.8197
"P09996","Control","3","lqf",26.366
"P0A698","Ampicillin","1","lqf",26.5605
"P0A698","Ampicillin","2","lqf",26.6899
"P0A698","Ampicillin","3","lqf",25.9795
"P0A698","Cefotaxime","1","lqf",26.4264
"P0A698","Cefotaxime","2","lqf",26.4324
"P0A698","Cefotaxime","3","lqf",26.4322
"P0A698","Impipenem","1","lqf",27.4806
"P0A698","Impipenem","2","lqf",26.4199
"P0A698","Impipenem","3","lqf",26.6641
"P0A698","Ciprofloxacin","1","lqf",26.5059
"P0A698","Ciprofloxacin","2","lqf",26.4921
"P0A698","Ciprofloxacin","3","lqf",26.2299
"P0A698","Control","1","lqf",27.1713
"P0A698","Control","2","lqf",26.8611
"P0A698","Control","3","lqf",27.3516
"P0A6A3","Ampicillin","1","lqf",31.0762
"P0A6A3","Ampicillin","2","lqf",31.4962
"P0A6A3","Ampicillin","3","lqf",31.2753
"P0A6A3","Cefotaxime","1","lqf",31.0887
"P0A6A3","Cefotaxime","2","lqf",31.3227
